classifier,DatasetSize,f1
BNB,717,0.846191831
BNB,680,0.841914802
BNB,650,0.835676682
BNB,614,0.827018121
BNB,577,0.817955036
BNB,542,0.81446681
BNB,505,0.81450593
BNB,468,0.807492022
BNB,433,0.827770606
BNB,396,0.793176437
BNB,355,0.813822167
BNB,319,0.75962716
BNB,284,0.751111988
BNB,247,0.747890644
BNB,212,0.707815884
BNB,178,0.673860878
BNB,143,0.595841337
MNB,717,0.855173342
MNB,680,0.845386853
MNB,650,0.846688247
MNB,614,0.835589682
MNB,577,0.822980689
MNB,542,0.824245713
MNB,505,0.826024936
MNB,468,0.800455436
MNB,433,0.827642538
MNB,396,0.804577138
MNB,355,0.798066622
MNB,319,0.796620779
MNB,284,0.769978994
MNB,247,0.772871027
MNB,212,0.768744435
MNB,178,0.737299041
MNB,143,0.711136788
kNN,717,0.851274829
kNN,680,0.839148532
kNN,650,0.833512964
kNN,614,0.827083397
kNN,577,0.833400734
kNN,542,0.806956311
kNN,505,0.818194795
kNN,468,0.778811279
kNN,433,0.781854924
kNN,396,0.746874787
kNN,355,0.777738867
kNN,319,0.739675505
kNN,284,0.706040722
kNN,247,0.693821588
kNN,212,0.756324723
kNN,178,0.719661998
kNN,143,0.638102878
Ridge,717,0.885211396
Ridge,680,0.877573184
Ridge,650,0.880698636
Ridge,614,0.87562007
Ridge,577,0.869584446
Ridge,542,0.854144537
Ridge,505,0.862248125
Ridge,468,0.8503796
Ridge,433,0.862245564
Ridge,396,0.844994243
Ridge,355,0.854240823
Ridge,319,0.843971685
Ridge,284,0.812981505
Ridge,247,0.802350015
Ridge,212,0.82985455
Ridge,178,0.835184534
Ridge,143,0.765712952
SCGl1,717,0.864706576
SCGl1,680,0.844870001
SCGl1,650,0.861355225
SCGl1,614,0.838589365
SCGl1,577,0.83142313
SCGl1,542,0.824253619
SCGl1,505,0.833630094
SCGl1,468,0.821183429
SCGl1,433,0.822433006
SCGl1,396,0.810989232
SCGl1,355,0.796378034
SCGl1,319,0.815626106
SCGl1,284,0.813456359
SCGl1,247,0.777085274
SCGl1,212,0.803742665
SCGl1,178,0.751741024
SCGl1,143,0.773638789
SCGl2,717,0.866462295
SCGl2,680,0.850307365
SCGl2,650,0.855699994
SCGl2,614,0.847379483
SCGl2,577,0.848927159
SCGl2,542,0.855324088
SCGl2,505,0.843496179
SCGl2,468,0.834503402
SCGl2,433,0.839613799
SCGl2,396,0.826466775
SCGl2,355,0.855760469
SCGl2,319,0.837563096
SCGl2,284,0.79815968
SCGl2,247,0.805100686
SCGl2,212,0.822385842
SCGl2,178,0.791607588
SCGl2,143,0.772779112
SCGelas,717,0.866052853
SCGelas,680,0.856203234
SCGelas,650,0.851802572
SCGelas,614,0.844468095
SCGelas,577,0.854528475
SCGelas,542,0.856493904
SCGelas,505,0.847538248
SCGelas,468,0.834905318
SCGelas,433,0.838844494
SCGelas,396,0.819543678
SCGelas,355,0.853866041
SCGelas,319,0.811318985
SCGelas,284,0.820500277
SCGelas,247,0.817771418
SCGelas,212,0.851735326
SCGelas,178,0.80283414
SCGelas,143,0.780191076
SVCl1,717,0.833493696
SVCl1,680,0.823522245
SVCl1,650,0.837163476
SVCl1,614,0.806685822
SVCl1,577,0.818202706
SVCl1,542,0.805368142
SVCl1,505,0.796932158
SVCl1,468,0.795218828
SVCl1,433,0.80663259
SVCl1,396,0.789621972
SVCl1,355,0.810337072
SVCl1,319,0.795413728
SVCl1,284,0.739906564
SVCl1,247,0.794670502
SVCl1,212,0.775309722
SVCl1,178,0.767738223
SVCl1,143,0.691454582
SCVl2,717,0.871759911
SCVl2,680,0.8566705
SCVl2,650,0.862618319
SCVl2,614,0.854892439
SCVl2,577,0.85131511
SCVl2,542,0.857133687
SCVl2,505,0.855041344
SCVl2,468,0.831906335
SCVl2,433,0.844347665
SCVl2,396,0.832415649
SCVl2,355,0.844487207
SCVl2,319,0.841523788
SCVl2,284,0.817084605
SCVl2,247,0.817202265
SCVl2,212,0.830546549
SCVl2,178,0.817013751
SCVl2,143,0.78247599
Logl1,717,0.848586936
Logl1,680,0.828760394
Logl1,650,0.828088374
Logl1,614,0.812163124
Logl1,577,0.818870883
Logl1,542,0.79523459
Logl1,505,0.820372619
Logl1,468,0.796639634
Logl1,433,0.823105739
Logl1,396,0.784641401
Logl1,355,0.788658201
Logl1,319,0.758809226
Logl1,284,0.757240832
Logl1,247,0.76311505
Logl1,212,0.774088528
Logl1,178,0.804771055
Logl1,143,0.726426237
Logl2,717,0.872427169
Logl2,680,0.85594946
Logl2,650,0.855548015
Logl2,614,0.862477633
Logl2,577,0.859891251
Logl2,542,0.857830307
Logl2,505,0.843349072
Logl2,468,0.824138097
Logl2,433,0.834712062
Logl2,396,0.8180231
Logl2,355,0.841993482
Logl2,319,0.824085407
Logl2,284,0.785213817
Logl2,247,0.780753995
Logl2,212,0.789870951
Logl2,178,0.791018148
Logl2,143,0.73345905
