classifier,featuresnum,features,metrics,value
NB,59,2,f0.5,0.456056
NB,118,4,f0.5,0.63954
NB,177,6,f0.5,0.738182
NB,236,8,f0.5,0.79879
NB,295,10,f0.5,0.840971
NB,354,12,f0.5,0.873092
NB,413,14,f0.5,0.887639
NB,472,16,f0.5,0.896364
NB,531,18,f0.5,0.899032
NB,590,20,f0.5,0.899118
NB,650,22,f0.5,0.897473
NB,710,24,f0.5,0.900734
NB,770,26,f0.5,0.907781
NB,826,28,f0.5,0.903992
NB,885,30,f0.5,0.900346
NB,944,32,f0.5,0.907978
NB,1004,34,f0.5,0.906758
NB,1063,36,f0.5,0.909295
NB,1122,38,f0.5,0.909848
NB,1181,40,f0.5,0.912599
NB,1240,42,f0.5,0.912015
NB,1299,44,f0.5,0.910064
NB,1358,46,f0.5,0.912541
NB,1417,48,f0.5,0.909527
NB,1476,50,f0.5,0.909861
NB,1535,52,f0.5,0.910826
NB,1595,54,f0.5,0.906601
NB,1653,56,f0.5,0.906428
NB,1715,58,f0.5,0.904575
NB,1771,60,f0.5,0.903337
NB,1830,62,f0.5,0.902251
NB,1889,64,f0.5,0.903399
NB,1948,66,f0.5,0.902748
NB,2008,68,f0.5,0.901249
NB,2067,70,f0.5,0.899878
NB,2126,72,f0.5,0.900179
NB,2185,74,f0.5,0.898812
NB,2244,76,f0.5,0.894755
NB,2306,78,f0.5,0.895001
NB,2364,80,f0.5,0.890175
NB,2421,82,f0.5,0.890221
NB,2480,84,f0.5,0.889121
NB,2539,86,f0.5,0.887684
NB,2600,88,f0.5,0.887482
NB,2663,90,f0.5,0.883048
NB,2716,92,f0.5,0.88226
NB,2776,94,f0.5,0.88198
NB,2834,96,f0.5,0.881745
NB,2897,98,f0.5,0.880743
NB,2953,100,f0.5,0.879115
kNN,59,2,f0.5,0.630892
kNN,118,4,f0.5,0.637803
kNN,177,6,f0.5,0.646154
kNN,236,8,f0.5,0.659959
kNN,295,10,f0.5,0.661402
kNN,354,12,f0.5,0.691717
kNN,413,14,f0.5,0.657041
kNN,472,16,f0.5,0.642126
kNN,531,18,f0.5,0.62864
kNN,590,20,f0.5,0.615584
kNN,650,22,f0.5,0.628424
kNN,710,24,f0.5,0.607162
kNN,770,26,f0.5,0.611015
kNN,826,28,f0.5,0.601203
kNN,885,30,f0.5,0.592028
kNN,944,32,f0.5,0.585899
kNN,1004,34,f0.5,0.586114
kNN,1063,36,f0.5,0.586791
kNN,1122,38,f0.5,0.57247
kNN,1181,40,f0.5,0.560307
kNN,1240,42,f0.5,0.576877
kNN,1299,44,f0.5,0.575706
kNN,1358,46,f0.5,0.578739
kNN,1417,48,f0.5,0.587497
kNN,1476,50,f0.5,0.589113
kNN,1535,52,f0.5,0.608084
kNN,1595,54,f0.5,0.641337
kNN,1653,56,f0.5,0.662817
kNN,1715,58,f0.5,0.659255
kNN,1771,60,f0.5,0.672449
kNN,1830,62,f0.5,0.687385
kNN,1889,64,f0.5,0.711401
kNN,1948,66,f0.5,0.731979
kNN,2008,68,f0.5,0.73968
kNN,2067,70,f0.5,0.743135
kNN,2126,72,f0.5,0.765072
kNN,2185,74,f0.5,0.77938
kNN,2244,76,f0.5,0.801265
kNN,2306,78,f0.5,0.809332
kNN,2364,80,f0.5,0.828155
kNN,2421,82,f0.5,0.845867
kNN,2480,84,f0.5,0.856319
kNN,2539,86,f0.5,0.852166
kNN,2600,88,f0.5,0.865221
kNN,2663,90,f0.5,0.870152
kNN,2716,92,f0.5,0.876235
kNN,2776,94,f0.5,0.883088
kNN,2834,96,f0.5,0.883827
kNN,2897,98,f0.5,0.88316
kNN,2953,100,f0.5,0.884057
Ridge,59,2,f0.5,0.485787
Ridge,118,4,f0.5,0.588453
Ridge,177,6,f0.5,0.732317
Ridge,236,8,f0.5,0.805189
Ridge,295,10,f0.5,0.837254
Ridge,354,12,f0.5,0.882112
Ridge,413,14,f0.5,0.891775
Ridge,472,16,f0.5,0.900378
Ridge,531,18,f0.5,0.906633
Ridge,590,20,f0.5,0.910521
Ridge,650,22,f0.5,0.909306
Ridge,710,24,f0.5,0.908785
Ridge,770,26,f0.5,0.910791
