Options,run,f5,f1,,,,,,,,,,
Prob.,1,0.927721,0.92518,Overall precision:  0.92602 (+/- 0.01392),,,,,,,,,
Prob.,2,0.924654,0.920813,Overall recall:     0.91477 (+/- 0.01557),,,,,,,,,
Prob.,3,0.920256,0.916187,Overall f1-score:   0.92036,,,,,,,,,
Prob.,4,0.920732,0.917937,Overall f0.5-score: 0.92375,,,,,,,,,
Prob.,5,0.922439,0.919389,1102.74,,,,,,,,,
Prob.,6,0.923643,0.919693,0.92035946,0.00173837,,,,,,,,
Prob.,7,0.926575,0.922979,0.92374534,0.001684428,,,,,,,,
Prob.,8,0.91965,0.915242,,,,,,,,,,
Prob.,9,0.924772,0.92143,,,,,,,,,,
Prob.,10,0.92781,0.923757,,,,,,,,,,
Prob.,11,0.921558,0.918867,,,,,,,,,,
Prob.,12,0.927382,0.923973,,,,,,,,,,
Prob.,13,0.926857,0.923241,,,,,,,,,,
Prob.,14,0.917094,0.9122,,,,,,,,,,
Prob.,15,0.92626,0.922315,,,,,,,,,,
Prob.,16,0.925718,0.921498,,,,,,,,,,
Prob.,17,0.925913,0.922163,,,,,,,,,,
Prob.,18,0.925143,0.923086,,,,,,,,,,
Prob.,19,0.927673,0.924178,,,,,,,,,,
Prob.,20,0.926521,0.923008,,,,,,,,,,
Prob.,21,0.923472,0.921065,,,,,,,,,,
Prob.,22,0.921918,0.918661,,,,,,,,,,
Prob.,23,0.920996,0.91762,,,,,,,,,,
Prob.,24,0.921382,0.91877,,,,,,,,,,
Prob.,25,0.922252,0.919336,,,,,,,,,,
Prob.,26,0.924816,0.92287,,,,,,,,,,
Prob.,27,0.925121,0.921103,,,,,,,,,,
Prob.,28,0.923482,0.920099,,,,,,,,,,
Prob.,29,0.920774,0.916902,,,,,,,,,,
Prob.,30,0.926881,0.923219,,,,,,,,,,
Prob.,31,0.921342,0.916339,,,,,,,,,,
Prob.,32,0.930724,0.927525,,,,,,,,,,
Prob.,33,0.917493,0.914411,,,,,,,,,,
Prob.,34,0.923691,0.91971,,,,,,,,,,
Prob.,35,0.9163,0.91324,,,,,,,,,,
Prob.,36,0.924638,0.919802,,,,,,,,,,
Prob.,37,0.919941,0.916929,,,,,,,,,,
Prob.,38,0.925102,0.922102,,,,,,,,,,
Prob.,39,0.921283,0.918217,,,,,,,,,,
Prob.,40,0.924048,0.919906,,,,,,,,,,
Prob.,41,0.921075,0.918617,,,,,,,,,,
Prob.,42,0.927776,0.92471,,,,,,,,,,
Prob.,43,0.928384,0.925692,,,,,,,,,,
Prob.,44,0.932493,0.929116,,,,,,,,,,
Prob.,45,0.923185,0.92037,,,,,,,,,,
Prob.,46,0.92013,0.917538,,,,,,,,,,
Prob.,47,0.922256,0.918783,,,,,,,,,,
Prob.,48,0.920327,0.916637,,,,,,,,,,
Prob.,49,0.924391,0.92214,,,,,,,,,,
Prob.,50,0.923223,0.919408,,,,,,,,,,
Pred.,1,0.915931,0.912444,Overall precision:  0.91676 (+/- 0.01443),,,,kNN,0.542974,0.543374,Overall precision:  0.55973 (+/- 0.03528),,
Pred.,2,0.909729,0.905142,Overall recall:     0.90501 (+/- 0.01611),,,,kNN,0.560562,0.551704,Overall recall:     0.54514 (+/- 0.02694),,
Pred.,3,0.916247,0.911231,Overall f1-score:   0.91085,,,,kNN,0.553716,0.549575,Overall f1-score:   0.55234,,
Pred.,4,0.91512,0.911966,Overall f0.5-score: 0.91439,,,,kNN,0.555051,0.553486,Overall f0.5-score: 0.55675,,
Pred.,5,0.91279,0.908979,332.1240001,,,,kNN,0.569428,0.566717,12.88599992,,
Pred.,6,0.915277,0.911558,0.91084762,0.001777133,,,kNN,0.546387,0.542616,0.55226672,0.00451615,
Pred.,7,0.913629,0.910017,0.914388,0.001889893,,,kNN,0.556915,0.554593,0.55670134,0.005829386,
Pred.,8,0.909075,0.905232,,,,,kNN,0.58525,0.571177,,,
Pred.,9,0.917268,0.913816,,,,,kNN,0.550955,0.544349,,,
Pred.,10,0.920047,0.915513,,,,,kNN,0.576614,0.563468,,,
Pred.,11,0.916674,0.91389,,,,,kNN,0.562391,0.554426,,,
Pred.,12,0.918144,0.913803,,,,,kNN,0.541189,0.533318,,,
Pred.,13,0.914062,0.910411,,,,,kNN,0.568779,0.563325,,,
Pred.,14,0.914849,0.910329,,,,,kNN,0.559725,0.554694,,,
Pred.,15,0.920204,0.917092,,,,,kNN,0.558204,0.553835,,,
Pred.,16,0.920565,0.916316,,,,,kNN,0.554832,0.549709,,,
Pred.,17,0.914002,0.909359,,,,,kNN,0.545226,0.543814,,,
Pred.,18,0.912596,0.909894,,,,,kNN,0.546196,0.546325,,,
Pred.,19,0.91526,0.91104,,,,,kNN,0.57136,0.559214,,,
Pred.,20,0.918224,0.914397,,,,,kNN,0.531145,0.532541,,,
Pred.,21,0.906269,0.904975,,,,,kNN,0.549425,0.549305,,,
Pred.,22,0.91365,0.91008,,,,,kNN,0.560167,0.553958,,,
Pred.,23,0.911382,0.90823,,,,,kNN,0.552955,0.547215,,,
Pred.,24,0.909399,0.905914,,,,,kNN,0.566749,0.557885,,,
Pred.,25,0.914524,0.911103,,,,,kNN,0.561219,0.553584,,,
Pred.,26,0.916192,0.914082,,,,,kNN,0.556397,0.555707,,,
Pred.,27,0.914863,0.911288,,,,,kNN,0.555329,0.548551,,,
Pred.,28,0.905525,0.902057,,,,,kNN,0.558182,0.553372,,,
Pred.,29,0.911151,0.907013,,,,,kNN,0.556457,0.550717,,,
Pred.,30,0.913914,0.910762,,,,,kNN,0.558008,0.551224,,,
Pred.,31,0.916291,0.912236,,,,,kNN,0.553656,0.552077,,,
Pred.,32,0.911185,0.908513,,,,,kNN,0.575705,0.568074,,,
Pred.,33,0.907145,0.905031,,,,,kNN,0.550013,0.549684,,,
Pred.,34,0.915906,0.910932,,,,,kNN,0.545339,0.543946,,,
Pred.,35,0.911558,0.907846,,,,,kNN,0.560942,0.556019,,,
Pred.,36,0.917462,0.912403,,,,,kNN,0.553048,0.556502,,,
Pred.,37,0.915789,0.912898,,,,,kNN,0.532276,0.535187,,,
Pred.,38,0.917058,0.914154,,,,,kNN,0.569835,0.563985,,,
Pred.,39,0.917785,0.914087,,,,,kNN,0.565785,0.557954,,,
Pred.,40,0.914893,0.911307,,,,,kNN,0.539373,0.541546,,,
Pred.,41,0.907296,0.905149,,,,,kNN,0.543955,0.542998,,,
Pred.,42,0.915336,0.912087,,,,,kNN,0.539167,0.540031,,,
Pred.,43,0.91911,0.91602,,,,,kNN,0.57455,0.568331,,,
Pred.,44,0.923181,0.919419,,,,,kNN,0.554881,0.551277,,,
Pred.,45,0.918851,0.915241,,,,,kNN,0.552247,0.548619,,,
Pred.,46,0.912186,0.909664,,,,,kNN,0.574078,0.566091,,,
Pred.,47,0.9143,0.909901,,,,,kNN,0.5521,0.548067,,,
Pred.,48,0.913556,0.909997,,,,,kNN,0.571127,0.564231,,,
Pred.,49,0.911274,0.90863,,,,,kNN,0.565032,0.560098,,,
Pred.,50,0.912676,0.908933,,,,,kNN,0.550171,0.544841,,,
Vote,1,0.908991,0.908144,Overall precision:  0.90401 (+/- 0.00216),,,,SVM,0.885377,0.880207,Overall precision:  0.88435 (+/- 0.01740),,
Vote,2,0.89337,0.892552,Overall recall:     0.90098 (+/- 0.00227),,,,SVM,0.876411,0.871664,Overall recall:     0.86799 (+/- 0.01942),,
Vote,3,0.90028,0.899299,Overall f1-score:   0.90249,,,,SVM,0.881638,0.874965,Overall f1-score:   0.87609,,
Vote,4,0.904434,0.903352,Overall f0.5-score: 0.90340,,,,SVM,0.874897,0.870803,Overall f0.5-score: 0.88103,,
Vote,5,0.902876,0.901893,337.99,,,,SVM,0.879344,0.87546,196.0480001,,
Vote,6,0.902136,0.901431,0.90249314,0.002232035,,,SVM,0.884596,0.878744,0.8760898,0.002319974,
Vote,7,0.901711,0.900679,0.90340078,0.002200134,,,SVM,0.881861,0.877017,0.88102858,0.002432441,
