type,article,features
PrivacyPolicy,1,146
PrivacyPolicy,2,305
PrivacyPolicy,3,435
PrivacyPolicy,4,599
PrivacyPolicy,5,664
PrivacyPolicy,6,731
PrivacyPolicy,7,790
PrivacyPolicy,8,864
PrivacyPolicy,9,912
PrivacyPolicy,10,957
PrivacyPolicy,11,1010
PrivacyPolicy,12,1056
PrivacyPolicy,13,1139
PrivacyPolicy,14,1197
PrivacyPolicy,15,1240
PrivacyPolicy,16,1272
PrivacyPolicy,17,1272
PrivacyPolicy,18,1298
PrivacyPolicy,19,1340
PrivacyPolicy,20,1359
QuoraML,1,99
QuoraML,2,366
QuoraML,3,645
QuoraML,4,913
QuoraML,5,965
QuoraML,6,1049
QuoraML,7,1093
QuoraML,8,1300
QuoraML,9,1376
QuoraML,10,1602
QuoraML,11,1664
QuoraML,12,1755
QuoraML,13,1880
QuoraML,14,1969
QuoraML,15,2113
QuoraML,16,2179
QuoraML,17,2253
QuoraML,18,2311
QuoraML,19,2449
QuoraML,20,2503
GoogleNews,1,145
GoogleNews,2,339
GoogleNews,3,575
GoogleNews,4,762
GoogleNews,5,915
GoogleNews,6,997
GoogleNews,7,1080
GoogleNews,8,1216
GoogleNews,9,1282
GoogleNews,10,1534
GoogleNews,11,1603
GoogleNews,12,1676
GoogleNews,13,1888
GoogleNews,14,2055
GoogleNews,15,2182
GoogleNews,16,2324
GoogleNews,17,2553
GoogleNews,18,2648
GoogleNews,19,2677
GoogleNews,20,2814
WordPressBlogs,1,256
WordPressBlogs,2,567
WordPressBlogs,3,790
WordPressBlogs,4,923
WordPressBlogs,5,1143
WordPressBlogs,6,1326
WordPressBlogs,7,1557
WordPressBlogs,8,1730
WordPressBlogs,9,1903
WordPressBlogs,10,1963
WordPressBlogs,11,2199
WordPressBlogs,12,2319
WordPressBlogs,13,2492
WordPressBlogs,14,2724
WordPressBlogs,15,2869
WordPressBlogs,16,2935
WordPressBlogs,17,2993
WordPressBlogs,18,3069
WordPressBlogs,19,3283
WordPressBlogs,20,3375
