classifier,featuresnum,features,metrics,value
NB,5,2,f0.5,0.227019302
NB,11,4,f0.5,0.474189756
NB,17,6,f0.5,0.536379349
NB,24,8,f0.5,0.521460979
NB,27,10,f0.5,0.556529265
NB,33,12,f0.5,0.624277906
NB,40,14,f0.5,0.638944606
NB,44,16,f0.5,0.726105702
NB,49,18,f0.5,0.737510158
NB,55,20,f0.5,0.760031418
NB,61,22,f0.5,0.759174982
NB,69,24,f0.5,0.758111872
NB,72,26,f0.5,0.726626516
NB,79,28,f0.5,0.736248634
NB,85,30,f0.5,0.747178823
NB,88,32,f0.5,0.729337333
NB,94,34,f0.5,0.728724438
NB,99,36,f0.5,0.74408162
NB,105,38,f0.5,0.750473284
NB,110,40,f0.5,0.753635146
NB,116,42,f0.5,0.750358354
NB,121,44,f0.5,0.75751854
NB,127,46,f0.5,0.751223474
NB,132,48,f0.5,0.753398106
NB,138,50,f0.5,0.737812125
NB,144,52,f0.5,0.787718681
NB,149,54,f0.5,0.784973562
NB,155,56,f0.5,0.783002401
NB,160,58,f0.5,0.778530065
NB,166,60,f0.5,0.79506179
NB,171,62,f0.5,0.794231171
NB,178,64,f0.5,0.796744994
NB,184,66,f0.5,0.791776612
NB,188,68,f0.5,0.794980245
NB,193,70,f0.5,0.791999325
NB,202,72,f0.5,0.791574199
NB,205,74,f0.5,0.792073266
NB,210,76,f0.5,0.786270168
NB,217,78,f0.5,0.774297765
NB,221,80,f0.5,0.760306407
NB,229,82,f0.5,0.754060008
NB,233,84,f0.5,0.750109175
NB,238,86,f0.5,0.747493564
NB,247,88,f0.5,0.74998145
NB,249,90,f0.5,0.730199926
NB,258,92,f0.5,0.733380671
NB,260,94,f0.5,0.728381439
NB,266,96,f0.5,0.710844712
NB,271,98,f0.5,0.700458029
NB,277,100,f0.5,0.701750157
kNN,5,2,f0.5,0.32173705
kNN,11,4,f0.5,0.351449821
kNN,17,6,f0.5,0.396150888
kNN,24,8,f0.5,0.429476086
kNN,27,10,f0.5,0.422214134
kNN,33,12,f0.5,0.462129134
kNN,40,14,f0.5,0.493599468
kNN,44,16,f0.5,0.451733236
kNN,49,18,f0.5,0.428183013
kNN,55,20,f0.5,0.427437154
kNN,61,22,f0.5,0.433274905
kNN,69,24,f0.5,0.428139083
kNN,72,26,f0.5,0.365260893
kNN,79,28,f0.5,0.386233477
kNN,85,30,f0.5,0.395712323
kNN,88,32,f0.5,0.340856061
kNN,94,34,f0.5,0.308219687
kNN,99,36,f0.5,0.301606991
kNN,105,38,f0.5,0.332926784
kNN,110,40,f0.5,0.312638099
kNN,116,42,f0.5,0.357271045
kNN,121,44,f0.5,0.35960018
kNN,127,46,f0.5,0.358616132
kNN,132,48,f0.5,0.35727947
