classifier,stopword_options,run,f1,f5
NaiveBayes,CommEng,1,0.550474647,0.559727846
NaiveBayes,CommEng,2,0.603834808,0.62256691
NaiveBayes,CommEng,3,0.562587904,0.581733566
NaiveBayes,CommEng,4,0.591376983,0.597813276
NaiveBayes,CommEng,5,0.554506422,0.557245897
NaiveBayes,CommEng,6,0.668096836,0.708011583
NaiveBayes,CommEng,7,0.587540913,0.604905449
NaiveBayes,CommEng,8,0.558219022,0.582895445
NaiveBayes,CommEng,9,0.523995272,0.513935262
NaiveBayes,CommEng,10,0.56639381,0.58914575
NaiveBayes,CommEng,11,0.623025402,0.642646514
NaiveBayes,CommEng,12,0.593235904,0.612920494
NaiveBayes,CommEng,13,0.607028478,0.612069047
NaiveBayes,CommEng,14,0.610939093,0.622327567
NaiveBayes,CommEng,15,0.543064768,0.555312749
NaiveBayes,CommEng,16,0.62457692,0.660538166
NaiveBayes,CommEng,17,0.567247549,0.576557922
NaiveBayes,CommEng,18,0.587494572,0.586425104
NaiveBayes,CommEng,19,0.587607554,0.619113215
NaiveBayes,CommEng,20,0.61705746,0.636683533
NaiveBayes,CommEng,21,0.529423615,0.539729189
NaiveBayes,CommEng,22,0.573562537,0.580792317
NaiveBayes,CommEng,23,0.602447906,0.616126087
NaiveBayes,CommEng,24,0.621741148,0.638806925
NaiveBayes,CommEng,25,0.616519581,0.622285937
NaiveBayes,CommEng,26,0.548747495,0.566557499
NaiveBayes,CommEng,27,0.611673564,0.629208722
NaiveBayes,CommEng,28,0.603353309,0.627737574
NaiveBayes,CommEng,29,0.674122089,0.693553817
NaiveBayes,CommEng,30,0.648166318,0.669502099
NaiveBayes,CommEng,31,0.623074247,0.65598117
NaiveBayes,CommEng,32,0.611114649,0.625005921
NaiveBayes,CommEng,33,0.598248643,0.605267929
NaiveBayes,CommEng,34,0.587838242,0.589845005
NaiveBayes,CommEng,35,0.594846263,0.611479683
NaiveBayes,CommEng,36,0.58474059,0.593801653
NaiveBayes,CommEng,37,0.563439461,0.568029293
NaiveBayes,CommEng,38,0.533712181,0.566380774
NaiveBayes,CommEng,39,0.551454741,0.565344675
NaiveBayes,CommEng,40,0.695522631,0.717384013
NaiveBayes,CommEng,41,0.600010961,0.628144221
NaiveBayes,CommEng,42,0.597792823,0.624264266
NaiveBayes,CommEng,43,0.584913905,0.58372586
NaiveBayes,CommEng,44,0.550283416,0.582715519
NaiveBayes,CommEng,45,0.604693955,0.625723674
NaiveBayes,CommEng,46,0.570412764,0.589173116
NaiveBayes,CommEng,47,0.613098979,0.637604443
NaiveBayes,CommEng,48,0.530554368,0.531030986
NaiveBayes,CommEng,49,0.535416501,0.535237989
NaiveBayes,CommEng,50,0.612947481,0.644531602
NaiveBayes,Threshold,1,0.610335234,0.625313533
NaiveBayes,Threshold,2,0.663985523,0.684678949
NaiveBayes,Threshold,3,0.577226046,0.585279101
NaiveBayes,Threshold,4,0.683914225,0.690875276
NaiveBayes,Threshold,5,0.608294931,0.620300752
NaiveBayes,Threshold,6,0.711686697,0.754658112
NaiveBayes,Threshold,7,0.665125094,0.692650065
NaiveBayes,Threshold,8,0.588290372,0.589124883
NaiveBayes,Threshold,9,0.671678145,0.689424499
NaiveBayes,Threshold,10,0.599231532,0.614776195
NaiveBayes,Threshold,11,0.691928309,0.724233497
NaiveBayes,Threshold,12,0.639302887,0.647437278
NaiveBayes,Threshold,13,0.66147238,0.673953753
NaiveBayes,Threshold,14,0.628025966,0.641259919
NaiveBayes,Threshold,15,0.597862823,0.612474542
NaiveBayes,Threshold,16,0.670354252,0.701771298
NaiveBayes,Threshold,17,0.637747484,0.641158218
