classifier,stopword_options,run,f1,f5
NaiveBayes,SelfDefined,1,0.705390892,0.735219626
NaiveBayes,SelfDefined,2,0.698501456,0.723322136
NaiveBayes,SelfDefined,3,0.617256318,0.632884217
NaiveBayes,SelfDefined,4,0.706365813,0.710978537
NaiveBayes,SelfDefined,5,0.666734573,0.683549151
NaiveBayes,SelfDefined,6,0.719451513,0.750817841
NaiveBayes,SelfDefined,7,0.726465077,0.763119672
NaiveBayes,SelfDefined,8,0.639535914,0.650915843
NaiveBayes,SelfDefined,9,0.693304721,0.699428472
NaiveBayes,SelfDefined,10,0.670773467,0.686280922
NaiveBayes,SelfDefined,11,0.720446049,0.752552481
NaiveBayes,SelfDefined,12,0.670164648,0.679759118
NaiveBayes,SelfDefined,13,0.693588253,0.712444383
NaiveBayes,SelfDefined,14,0.707574486,0.728673293
NaiveBayes,SelfDefined,15,0.628656864,0.648876822
NaiveBayes,SelfDefined,16,0.707427298,0.745151774
NaiveBayes,SelfDefined,17,0.584168206,0.576384463
NaiveBayes,SelfDefined,18,0.654559132,0.659536388
NaiveBayes,SelfDefined,19,0.688848551,0.704477949
NaiveBayes,SelfDefined,20,0.668171988,0.676484983
NaiveBayes,SelfDefined,21,0.604411385,0.607823096
NaiveBayes,SelfDefined,22,0.654341015,0.651968781
NaiveBayes,SelfDefined,23,0.694151909,0.697104747
NaiveBayes,SelfDefined,24,0.659977784,0.668383417
NaiveBayes,SelfDefined,25,0.704918362,0.725831103
NaiveBayes,SelfDefined,26,0.650626657,0.689100277
NaiveBayes,SelfDefined,27,0.648308252,0.630182098
NaiveBayes,SelfDefined,28,0.712558136,0.738882358
NaiveBayes,SelfDefined,29,0.69635592,0.723078845
NaiveBayes,SelfDefined,30,0.727362401,0.748102584
NaiveBayes,SelfDefined,31,0.668954014,0.693173067
NaiveBayes,SelfDefined,32,0.720773323,0.767180422
NaiveBayes,SelfDefined,33,0.712138462,0.722678913
NaiveBayes,SelfDefined,34,0.721184254,0.724653019
NaiveBayes,SelfDefined,35,0.706302374,0.74315699
NaiveBayes,SelfDefined,36,0.707001395,0.741631554
