comb,Options,run,f1
8class_NB,Baseline,1,0.719740634
8class_NB,Baseline,2,0.702705689
8class_NB,Baseline,3,0.588947425
8class_NB,Baseline,4,0.722976239
8class_NB,Baseline,5,0.670001689
8class_NB,Baseline,6,0.709987039
8class_NB,Baseline,7,0.739828109
8class_NB,Baseline,8,0.647017605
8class_NB,Baseline,9,0.653610413
8class_NB,Baseline,10,0.660837881
8class_NB,Baseline,11,0.726549024
8class_NB,Baseline,12,0.662601209
8class_NB,Baseline,13,0.71437474
8class_NB,Baseline,14,0.697529926
8class_NB,Baseline,15,0.66513091
8class_NB,Baseline,16,0.693037795
8class_NB,Baseline,17,0.568626425
8class_NB,Baseline,18,0.673459621
8class_NB,Baseline,19,0.677016406
8class_NB,Baseline,20,0.68246357
8class_NB,Baseline,21,0.60134385
8class_NB,Baseline,22,0.703743509
8class_NB,Baseline,23,0.71998493
8class_NB,Baseline,24,0.670773467
8class_NB,Baseline,25,0.704918362
8class_NB,Baseline,26,0.651799181
8class_NB,Baseline,27,0.648308252
8class_NB,Baseline,28,0.712558136
8class_NB,Baseline,29,0.744373757
8class_NB,Baseline,30,0.751918942
8class_NB,Baseline,31,0.675222496
8class_NB,Baseline,32,0.735201446
8class_NB,Baseline,33,0.726378754
8class_NB,Baseline,34,0.721184254
8class_NB,Baseline,35,0.709292803
8class_NB,Baseline,36,0.707001395
8class_NB,Baseline,37,0.688630491
8class_NB,Baseline,38,0.638142659
8class_NB,Baseline,39,0.702974195
8class_NB,Baseline,40,0.72942071
8class_NB,Baseline,41,0.708768995
8class_NB,Baseline,42,0.746481113
8class_NB,Baseline,43,0.68917249
8class_NB,Baseline,44,0.646221376
8class_NB,Baseline,45,0.664787446
8class_NB,Baseline,46,0.640153049
8class_NB,Baseline,47,0.733546381
8class_NB,Baseline,48,0.681931309
8class_NB,Baseline,49,0.671639462
8class_NB,Baseline,50,0.742053999
8class_NB,POStags,1,0.425070812
8class_NB,POStags,2,0.394674333
8class_NB,POStags,3,0.379876919
8class_NB,POStags,4,0.37503516
8class_NB,POStags,5,0.47969628
8class_NB,POStags,6,0.381399119
8class_NB,POStags,7,0.413517229
8class_NB,POStags,8,0.434611399
8class_NB,POStags,9,0.386157504
8class_NB,POStags,10,0.372365439
8class_NB,POStags,11,0.413827459
8class_NB,POStags,12,0.424899732
8class_NB,POStags,13,0.422881271
8class_NB,POStags,14,0.364612572
8class_NB,POStags,15,0.387794334
8class_NB,POStags,16,0.468653653
8class_NB,POStags,17,0.358706468
8class_NB,POStags,18,0.413288728
8class_NB,POStags,19,0.415907161
8class_NB,POStags,20,0.418694968
8class_NB,POStags,21,0.438043478
8class_NB,POStags,22,0.426430475
8class_NB,POStags,23,0.427447197
8class_NB,POStags,24,0.444332515
8class_NB,POStags,25,0.447809423
8class_NB,POStags,26,0.394369798
8class_NB,POStags,27,0.44608183
8class_NB,POStags,28,0.429664757
8class_NB,POStags,29,0.359409805
8class_NB,POStags,30,0.44042493
