comb,Options,run,f1
8class_NB,Baseline,1,0.719740634
8class_NB,Baseline,2,0.702705689
8class_NB,Baseline,3,0.588947425
8class_NB,Baseline,4,0.722976239
8class_NB,Baseline,5,0.670001689
8class_NB,Baseline,6,0.709987039
8class_NB,Baseline,7,0.739828109
8class_NB,Baseline,8,0.647017605
8class_NB,Baseline,9,0.653610413
8class_NB,Baseline,10,0.660837881
8class_NB,Baseline,11,0.726549024
8class_NB,Baseline,12,0.662601209
8class_NB,Baseline,13,0.71437474
8class_NB,Baseline,14,0.697529926
8class_NB,Baseline,15,0.66513091
8class_NB,Baseline,16,0.693037795
8class_NB,Baseline,17,0.568626425
8class_NB,Baseline,18,0.673459621
8class_NB,Baseline,19,0.677016406
8class_NB,Baseline,20,0.68246357
8class_NB,Baseline,21,0.60134385
8class_NB,Baseline,22,0.703743509
8class_NB,Baseline,23,0.71998493
8class_NB,Baseline,24,0.670773467
8class_NB,Baseline,25,0.704918362
8class_NB,Baseline,26,0.651799181
8class_NB,Baseline,27,0.648308252
8class_NB,Baseline,28,0.712558136
8class_NB,Baseline,29,0.744373757
8class_NB,Baseline,30,0.751918942
8class_NB,Baseline,31,0.675222496
8class_NB,Baseline,32,0.735201446
8class_NB,Baseline,33,0.726378754
8class_NB,Baseline,34,0.721184254
8class_NB,Baseline,35,0.709292803
8class_NB,Baseline,36,0.707001395
8class_NB,Baseline,37,0.688630491
8class_NB,Baseline,38,0.638142659
8class_NB,Baseline,39,0.702974195
8class_NB,Baseline,40,0.72942071
8class_NB,Baseline,41,0.708768995
8class_NB,Baseline,42,0.746481113
8class_NB,Baseline,43,0.68917249
8class_NB,Baseline,44,0.646221376
8class_NB,Baseline,45,0.664787446
8class_NB,Baseline,46,0.640153049
8class_NB,Baseline,47,0.733546381
8class_NB,Baseline,48,0.681931309
8class_NB,Baseline,49,0.671639462
8class_NB,Baseline,50,0.742053999
8class_NB,Option1,1,0.666331995
8class_NB,Option1,2,0.714193531
8class_NB,Option1,3,0.665362938
8class_NB,Option1,4,0.724294128
8class_NB,Option1,5,0.717542147
8class_NB,Option1,6,0.738727594
8class_NB,Option1,7,0.748210362
8class_NB,Option1,8,0.662669661
8class_NB,Option1,9,0.686215032
8class_NB,Option1,10,0.661826645
8class_NB,Option1,11,0.714221471
8class_NB,Option1,12,0.667169595
8class_NB,Option1,13,0.747531951
8class_NB,Option1,14,0.720259153
8class_NB,Option1,15,0.675902003
8class_NB,Option1,16,0.706927855
8class_NB,Option1,17,0.603804361
8class_NB,Option1,18,0.723874041
8class_NB,Option1,19,0.702886441
8class_NB,Option1,20,0.691483438
8class_NB,Option1,21,0.637302476
8class_NB,Option1,22,0.739075968
8class_NB,Option1,23,0.733139789
8class_NB,Option1,24,0.706810631
8class_NB,Option1,25,0.734781939
8class_NB,Option1,26,0.669588649
8class_NB,Option1,27,0.666627049
8class_NB,Option1,28,0.728841793
8class_NB,Option1,29,0.758098944
8class_NB,Option1,30,0.758174495
