comb,Options,run,f1
8class_NB,Baseline,1,0.719740634
8class_NB,Baseline,2,0.702705689
8class_NB,Baseline,3,0.588947425
8class_NB,Baseline,4,0.722976239
8class_NB,Baseline,5,0.670001689
8class_NB,Baseline,6,0.709987039
8class_NB,Baseline,7,0.739828109
8class_NB,Baseline,8,0.647017605
8class_NB,Baseline,9,0.653610413
8class_NB,Baseline,10,0.660837881
8class_NB,Baseline,11,0.726549024
8class_NB,Baseline,12,0.662601209
8class_NB,Baseline,13,0.71437474
8class_NB,Baseline,14,0.697529926
8class_NB,Baseline,15,0.66513091
8class_NB,Baseline,16,0.693037795
8class_NB,Baseline,17,0.568626425
8class_NB,Baseline,18,0.673459621
8class_NB,Baseline,19,0.677016406
8class_NB,Baseline,20,0.68246357
8class_NB,Baseline,21,0.60134385
8class_NB,Baseline,22,0.703743509
8class_NB,Baseline,23,0.71998493
8class_NB,Baseline,24,0.670773467
8class_NB,Baseline,25,0.704918362
8class_NB,Baseline,26,0.651799181
8class_NB,Baseline,27,0.648308252
8class_NB,Baseline,28,0.712558136
8class_NB,Baseline,29,0.744373757
8class_NB,Baseline,30,0.751918942
8class_NB,Baseline,31,0.675222496
8class_NB,Baseline,32,0.735201446
8class_NB,Baseline,33,0.726378754
8class_NB,Baseline,34,0.721184254
8class_NB,Baseline,35,0.709292803
8class_NB,Baseline,36,0.707001395
8class_NB,Baseline,37,0.688630491
8class_NB,Baseline,38,0.638142659
8class_NB,Baseline,39,0.702974195
8class_NB,Baseline,40,0.72942071
8class_NB,Baseline,41,0.708768995
8class_NB,Baseline,42,0.746481113
8class_NB,Baseline,43,0.68917249
8class_NB,Baseline,44,0.646221376
8class_NB,Baseline,45,0.664787446
8class_NB,Baseline,46,0.640153049
8class_NB,Baseline,47,0.733546381
8class_NB,Baseline,48,0.681931309
8class_NB,Baseline,49,0.671639462
8class_NB,Baseline,50,0.742053999
8class_NB,Path,1,0.697476847
8class_NB,Path,2,0.673761247
8class_NB,Path,3,0.617346939
8class_NB,Path,4,0.7086473
8class_NB,Path,5,0.631848739
8class_NB,Path,6,0.675725316
8class_NB,Path,7,0.699557862
8class_NB,Path,8,0.615900868
8class_NB,Path,9,0.600667293
8class_NB,Path,10,0.666124995
8class_NB,Path,11,0.705374258
8class_NB,Path,12,0.611142023
8class_NB,Path,13,0.732924483
8class_NB,Path,14,0.670322841
8class_NB,Path,15,0.65841983
8class_NB,Path,16,0.677084553
8class_NB,Path,17,0.62905903
8class_NB,Path,18,0.688130086
8class_NB,Path,19,0.685608843
8class_NB,Path,20,0.673635896
8class_NB,Path,21,0.6420413
8class_NB,Path,22,0.682876854
8class_NB,Path,23,0.61969042
8class_NB,Path,24,0.690126455
8class_NB,Path,25,0.680267753
8class_NB,Path,26,0.604941428
8class_NB,Path,27,0.598952665
8class_NB,Path,28,0.704031465
8class_NB,Path,29,0.706001305
8class_NB,Path,30,0.723754365
8class_NB,Path,31,0.668996423
8class_NB,Path,32,0.691880672
