comb,Options,features,f1
8-class NB,Baseline,52,0.778486582
8-class NB,Baseline,54,0.778190753
8-class NB,Baseline,56,0.774215161
8-class NB,Baseline,58,0.767252958
8-class NB,Baseline,60,0.782342204
8-class NB,Baseline,62,0.781510157
8-class NB,Baseline,64,0.783029519
8-class NB,Baseline,66,0.779459836
8-class NB,Baseline,68,0.782057494
8-class NB,Baseline,70,0.778227783
8-class NB,Baseline,72,0.778961148
8-class NB,Baseline,74,0.777135204
8-class NB,Baseline,76,0.771601512
8-class NB,Baseline,78,0.759078336
8-class NB,Baseline,80,0.746576032
8-class NB,Baseline,82,0.739874092
8-class NB,Baseline,84,0.733974089
8-class NB,Baseline,86,0.73397545
8-class NB,Baseline,88,0.735472722
8-class NB,Baseline,90,0.717773283
8-class NB,Baseline,92,0.717305269
8-class NB,Baseline,94,0.711676987
8-class NB,Baseline,96,0.694187569
8-class NB,Baseline,98,0.682107862
8-class NB,Baseline,100,0.681945203
8-class NB,POS rep.,52,0.805119433
8-class NB,POS rep.,54,0.792926431
8-class NB,POS rep.,56,0.804596894
8-class NB,POS rep.,58,0.801231036
8-class NB,POS rep.,60,0.803582095
8-class NB,POS rep.,62,0.78161487
8-class NB,POS rep.,64,0.787153384
8-class NB,POS rep.,66,0.784327086
8-class NB,POS rep.,68,0.777245083
8-class NB,POS rep.,70,0.777245083
8-class NB,POS rep.,72,0.770797548
8-class NB,POS rep.,74,0.756304452
8-class NB,POS rep.,76,0.756304452
8-class NB,POS rep.,78,0.747486506
8-class NB,POS rep.,80,0.749340467
8-class NB,POS rep.,82,0.748279661
8-class NB,POS rep.,84,0.730824869
8-class NB,POS rep.,86,0.730458525
8-class NB,POS rep.,88,0.726713454
8-class NB,POS rep.,90,0.708504755
8-class NB,POS rep.,92,0.709390555
8-class NB,POS rep.,94,0.703325419
8-class NB,POS rep.,96,0.692472973
8-class NB,POS rep.,98,0.692472973
8-class NB,POS rep.,100,0.687854015
8-class NB,Neg Bi.,52,0.778692643
8-class NB,Neg Bi.,54,0.772754927
8-class NB,Neg Bi.,56,0.800975399
8-class NB,Neg Bi.,58,0.797487198
8-class NB,Neg Bi.,60,0.796615031
8-class NB,Neg Bi.,62,0.802215082
8-class NB,Neg Bi.,64,0.787793894
8-class NB,Neg Bi.,66,0.795245966
8-class NB,Neg Bi.,68,0.79347767
8-class NB,Neg Bi.,70,0.792239327
8-class NB,Neg Bi.,72,0.793448017
8-class NB,Neg Bi.,74,0.780279361
8-class NB,Neg Bi.,76,0.776138254
8-class NB,Neg Bi.,78,0.776138254
8-class NB,Neg Bi.,80,0.759325968
8-class NB,Neg Bi.,82,0.749052826
8-class NB,Neg Bi.,84,0.74403944
8-class NB,Neg Bi.,86,0.747030777
8-class NB,Neg Bi.,88,0.731496443
8-class NB,Neg Bi.,90,0.722726668
8-class NB,Neg Bi.,92,0.714877821
8-class NB,Neg Bi.,94,0.722078279
8-class NB,Neg Bi.,96,0.71201052
8-class NB,Neg Bi.,98,0.708916453
8-class NB,Neg Bi.,100,0.708379295
