comb,Options,features,f1
8-class NB,Baseline,2,0.252113015
8-class NB,Baseline,4,0.48979353
8-class NB,Baseline,6,0.547433206
8-class NB,Baseline,8,0.537340832
8-class NB,Baseline,10,0.56982415
8-class NB,Baseline,12,0.624993749
8-class NB,Baseline,14,0.630077419
8-class NB,Baseline,16,0.714402777
8-class NB,Baseline,18,0.724216867
8-class NB,Baseline,20,0.747402534
8-class NB,Baseline,22,0.747777574
8-class NB,Baseline,24,0.748020544
8-class NB,Baseline,26,0.718362853
8-class NB,Baseline,28,0.728457878
8-class NB,Baseline,30,0.738797223
8-class NB,Baseline,32,0.720481604
8-class NB,Baseline,34,0.721218968
8-class NB,Baseline,36,0.735282736
8-class NB,Baseline,38,0.743584869
8-class NB,Baseline,40,0.745521815
8-class NB,Baseline,42,0.740736943
8-class NB,Baseline,44,0.751861691
8-class NB,Baseline,46,0.747111424
8-class NB,Baseline,48,0.747035503
8-class NB,Baseline,50,0.732406656
8-class NB,POS rep.,2,0.267721076
8-class NB,POS rep.,4,0.417930119
8-class NB,POS rep.,6,0.568033551
8-class NB,POS rep.,8,0.58461524
8-class NB,POS rep.,10,0.611712318
8-class NB,POS rep.,12,0.636322698
8-class NB,POS rep.,14,0.647081209
8-class NB,POS rep.,16,0.717479059
8-class NB,POS rep.,18,0.706957934
8-class NB,POS rep.,20,0.726884117
8-class NB,POS rep.,22,0.755817625
8-class NB,POS rep.,24,0.770060569
8-class NB,POS rep.,26,0.766609237
8-class NB,POS rep.,28,0.784683812
8-class NB,POS rep.,30,0.775201597
8-class NB,POS rep.,32,0.769988747
8-class NB,POS rep.,34,0.799112649
8-class NB,POS rep.,36,0.799112649
8-class NB,POS rep.,38,0.797490314
8-class NB,POS rep.,40,0.80725935
8-class NB,POS rep.,42,0.796373836
8-class NB,POS rep.,44,0.797220898
8-class NB,POS rep.,46,0.804781029
8-class NB,POS rep.,48,0.80425986
8-class NB,POS rep.,50,0.807819663
8-class NB,Neg Bi.,2,0.275065451
8-class NB,Neg Bi.,4,0.506405308
8-class NB,Neg Bi.,6,0.55614324
8-class NB,Neg Bi.,8,0.621554749
8-class NB,Neg Bi.,10,0.591987636
8-class NB,Neg Bi.,12,0.600068103
8-class NB,Neg Bi.,14,0.679264626
8-class NB,Neg Bi.,16,0.748185112
8-class NB,Neg Bi.,18,0.738235648
8-class NB,Neg Bi.,20,0.767313423
8-class NB,Neg Bi.,22,0.778689983
8-class NB,Neg Bi.,24,0.777315057
8-class NB,Neg Bi.,26,0.769489486
8-class NB,Neg Bi.,28,0.779820569
8-class NB,Neg Bi.,30,0.744603583
8-class NB,Neg Bi.,32,0.733248394
8-class NB,Neg Bi.,34,0.7332005
8-class NB,Neg Bi.,36,0.749335523
8-class NB,Neg Bi.,38,0.742445141
8-class NB,Neg Bi.,40,0.752865599
8-class NB,Neg Bi.,42,0.756249937
8-class NB,Neg Bi.,44,0.751630562
8-class NB,Neg Bi.,46,0.759819639
8-class NB,Neg Bi.,48,0.768910613
8-class NB,Neg Bi.,50,0.772182668
8-class NB,Comb.,2,0.356023784
8-class NB,Comb.,4,0.497439581
8-class NB,Comb.,6,0.573078422
8-class NB,Comb.,8,0.571311165
8-class NB,Comb.,10,0.584474495
