comb,Options,features,f1
8-class NB,Baseline,2,0.252113015
8-class NB,Baseline,4,0.48979353
8-class NB,Baseline,6,0.547433206
8-class NB,Baseline,8,0.537340832
8-class NB,Baseline,10,0.56982415
8-class NB,Baseline,12,0.624993749
8-class NB,Baseline,14,0.630077419
8-class NB,Baseline,16,0.714402777
8-class NB,Baseline,18,0.724216867
8-class NB,Baseline,20,0.747402534
8-class NB,Baseline,22,0.747777574
8-class NB,Baseline,24,0.748020544
8-class NB,Baseline,26,0.718362853
8-class NB,Baseline,28,0.728457878
8-class NB,Baseline,30,0.738797223
8-class NB,Baseline,32,0.720481604
8-class NB,Baseline,34,0.721218968
8-class NB,Baseline,36,0.735282736
8-class NB,Baseline,38,0.743584869
8-class NB,Baseline,40,0.745521815
8-class NB,Baseline,42,0.740736943
8-class NB,Baseline,44,0.751861691
8-class NB,Baseline,46,0.747111424
8-class NB,Baseline,48,0.747035503
8-class NB,Baseline,50,0.732406656
8-class NB,Baseline,52,0.778486582
8-class NB,Baseline,54,0.778190753
8-class NB,Baseline,56,0.774215161
8-class NB,Baseline,58,0.767252958
8-class NB,Baseline,60,0.782342204
8-class NB,Baseline,62,0.781510157
8-class NB,Baseline,64,0.783029519
8-class NB,Baseline,66,0.779459836
8-class NB,Baseline,68,0.782057494
8-class NB,Baseline,70,0.778227783
8-class NB,Baseline,72,0.778961148
8-class NB,Baseline,74,0.777135204
8-class NB,Baseline,76,0.771601512
8-class NB,Baseline,78,0.759078336
8-class NB,Baseline,80,0.746576032
8-class NB,Baseline,82,0.739874092
8-class NB,Baseline,84,0.733974089
8-class NB,Baseline,86,0.73397545
8-class NB,Baseline,88,0.735472722
8-class NB,Baseline,90,0.717773283
8-class NB,Baseline,92,0.717305269
8-class NB,Baseline,94,0.711676987
8-class NB,Baseline,96,0.694187569
8-class NB,Baseline,98,0.682107862
8-class NB,Baseline,100,0.681945203
8-class NB,POS rep.,2,0.267721076
8-class NB,POS rep.,4,0.417930119
8-class NB,POS rep.,6,0.568033551
8-class NB,POS rep.,8,0.58461524
8-class NB,POS rep.,10,0.611712318
8-class NB,POS rep.,12,0.636322698
8-class NB,POS rep.,14,0.647081209
8-class NB,POS rep.,16,0.717479059
8-class NB,POS rep.,18,0.706957934
8-class NB,POS rep.,20,0.726884117
8-class NB,POS rep.,22,0.755817625
8-class NB,POS rep.,24,0.770060569
8-class NB,POS rep.,26,0.766609237
8-class NB,POS rep.,28,0.784683812
8-class NB,POS rep.,30,0.775201597
8-class NB,POS rep.,32,0.769988747
8-class NB,POS rep.,34,0.799112649
8-class NB,POS rep.,36,0.799112649
8-class NB,POS rep.,38,0.797490314
8-class NB,POS rep.,40,0.80725935
8-class NB,POS rep.,42,0.796373836
8-class NB,POS rep.,44,0.797220898
8-class NB,POS rep.,46,0.804781029
8-class NB,POS rep.,48,0.80425986
8-class NB,POS rep.,50,0.807819663
8-class NB,POS rep.,52,0.805119433
8-class NB,POS rep.,54,0.792926431
8-class NB,POS rep.,56,0.804596894
8-class NB,POS rep.,58,0.801231036
8-class NB,POS rep.,60,0.803582095
8-class NB,POS rep.,62,0.78161487
8-class NB,POS rep.,64,0.787153384
8-class NB,POS rep.,66,0.784327086
8-class NB,POS rep.,68,0.777245083
