comb,Options,features,f1
3-class NB,Baseline,20,0.871333182
3-class NB,Baseline,22,0.903137358
3-class NB,Baseline,24,0.896678114
3-class NB,Baseline,26,0.899412234
3-class NB,Baseline,28,0.889339896
3-class NB,Baseline,30,0.914965699
3-class NB,Baseline,32,0.910700067
3-class NB,Baseline,34,0.931739898
3-class NB,Baseline,36,0.961418983
3-class NB,Baseline,38,0.963498147
3-class NB,Baseline,40,0.969481465
3-class NB,Baseline,42,0.967605929
3-class NB,Baseline,44,0.960417177
3-class NB,Baseline,46,0.962043582
3-class NB,Baseline,48,0.966886925
3-class NB,Baseline,50,0.95959416
3-class NB,Baseline,52,0.961534264
3-class NB,Baseline,54,0.963542174
3-class NB,Baseline,56,0.948616284
3-class NB,Baseline,58,0.938210887
3-class NB,Baseline,60,0.937150189
3-class NB,Baseline,62,0.929518999
3-class NB,Baseline,64,0.921375551
3-class NB,Baseline,66,0.916277456
3-class NB,Baseline,68,0.912935972
3-class NB,Baseline,70,0.901582896
3-class NB,Baseline,72,0.899081802
3-class NB,Baseline,74,0.90341196
3-class NB,Baseline,76,0.895346443
3-class NB,Baseline,78,0.895528097
3-class NB,Baseline,80,0.881696796
3-class NB,Baseline,82,0.882248496
3-class NB,Baseline,84,0.881381935
3-class NB,Baseline,86,0.879130943
3-class NB,Baseline,88,0.879826567
3-class NB,Baseline,90,0.881632358
3-class NB,Baseline,92,0.878647123
3-class NB,Baseline,94,0.868077714
3-class NB,Baseline,96,0.868077714
3-class NB,Baseline,98,0.863674966
3-class NB,Baseline,100,0.862849444
3-class NB,POS rep.,20,0.87179791
3-class NB,POS rep.,22,0.867791782
3-class NB,POS rep.,24,0.858988464
3-class NB,POS rep.,26,0.841363944
3-class NB,POS rep.,28,0.859144646
3-class NB,POS rep.,30,0.892836707
3-class NB,POS rep.,32,0.923293458
3-class NB,POS rep.,34,0.947312736
3-class NB,POS rep.,36,0.955663079
3-class NB,POS rep.,38,0.957465442
3-class NB,POS rep.,40,0.943990295
3-class NB,POS rep.,42,0.949665227
3-class NB,POS rep.,44,0.958421391
3-class NB,POS rep.,46,0.961340108
3-class NB,POS rep.,48,0.961931635
3-class NB,POS rep.,50,0.965471374
3-class NB,POS rep.,52,0.956639031
3-class NB,POS rep.,54,0.958441451
3-class NB,POS rep.,56,0.948330046
3-class NB,POS rep.,58,0.940465367
3-class NB,POS rep.,60,0.929525595
3-class NB,POS rep.,62,0.928151488
3-class NB,POS rep.,64,0.926121445
3-class NB,POS rep.,66,0.92462128
3-class NB,POS rep.,68,0.915348732
3-class NB,POS rep.,70,0.914032478
3-class NB,POS rep.,72,0.914032478
3-class NB,POS rep.,74,0.905290409
3-class NB,POS rep.,76,0.907538613
3-class NB,POS rep.,78,0.904600072
3-class NB,POS rep.,80,0.903702404
3-class NB,POS rep.,82,0.896090094
3-class NB,POS rep.,84,0.893792573
3-class NB,POS rep.,86,0.892333877
3-class NB,POS rep.,88,0.892333877
3-class NB,POS rep.,90,0.879256793
3-class NB,POS rep.,92,0.879256793
3-class NB,POS rep.,94,0.880824439
3-class NB,POS rep.,96,0.880545692
3-class NB,POS rep.,98,0.877094809
3-class NB,POS rep.,100,0.863430251
3-class NB,Neg Bi.,20,0.870914687
3-class NB,Neg Bi.,22,0.873349221
3-class NB,Neg Bi.,24,0.867876616
3-class NB,Neg Bi.,26,0.889504926
3-class NB,Neg Bi.,28,0.889504926
3-class NB,Neg Bi.,30,0.913410489
3-class NB,Neg Bi.,32,0.909791367
3-class NB,Neg Bi.,34,0.937272362
3-class NB,Neg Bi.,36,0.95683359
3-class NB,Neg Bi.,38,0.961363358
3-class NB,Neg Bi.,40,0.960298864
3-class NB,Neg Bi.,42,0.970734466
3-class NB,Neg Bi.,44,0.97002277
3-class NB,Neg Bi.,46,0.973137753
3-class NB,Neg Bi.,48,0.97226266
3-class NB,Neg Bi.,50,0.952429173
3-class NB,Neg Bi.,52,0.953997091
3-class NB,Neg Bi.,54,0.954552013
3-class NB,Neg Bi.,56,0.948418735
3-class NB,Neg Bi.,58,0.939293805
3-class NB,Neg Bi.,60,0.932061261
3-class NB,Neg Bi.,62,0.93041797
3-class NB,Neg Bi.,64,0.924046891
3-class NB,Neg Bi.,66,0.917371906
3-class NB,Neg Bi.,68,0.905462139
3-class NB,Neg Bi.,70,0.907449222
3-class NB,Neg Bi.,72,0.902366534
3-class NB,Neg Bi.,74,0.906165713
3-class NB,Neg Bi.,76,0.902919165
3-class NB,Neg Bi.,78,0.905073891
3-class NB,Neg Bi.,80,0.901942643
3-class NB,Neg Bi.,82,0.902024071
3-class NB,Neg Bi.,84,0.90012239
3-class NB,Neg Bi.,86,0.895486999
3-class NB,Neg Bi.,88,0.895486999
3-class NB,Neg Bi.,90,0.896549378
3-class NB,Neg Bi.,92,0.893443859
3-class NB,Neg Bi.,94,0.893443859
3-class NB,Neg Bi.,96,0.891294351
3-class NB,Neg Bi.,98,0.878031685
3-class NB,Neg Bi.,100,0.876946394
3-class NB,Comb.,20,0.861254377
3-class NB,Comb.,22,0.859643493
3-class NB,Comb.,24,0.844668333
3-class NB,Comb.,26,0.811799168
